round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
3148,400,3,3,24,52,0,20,0,93.1,0.05
3149,400,4,4,23,48,0,12,0,171.3,0.05
3150,5,0,0,1,1,0,1,1,-50.0,0.05
3151,5,0,0,3,1,0,3,1,-54.0,0.05
3152,39,3,3,21,5,0,4,1,10.6,0.05
3153,30,1,1,14,4,0,1,1,-14.4,0.05
3154,177,1,1,22,21,0,6,1,27.0,0.05
3155,400,2,2,34,48,0,13,0,234.1,0.05
3156,49,0,0,18,6,0,4,1,-14.0,0.05
3157,199,2,2,29,23,0,3,1,103.4,0.05
3158,48,0,0,18,7,0,3,1,-14.7,0.05
3159,76,1,1,14,9,0,6,1,-0.1,0.05
3160,57,0,0,20,8,0,2,1,9.4,0.05
