round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1469,400,2,2,5,2,0,14,0,-25.3,0.05
1470,400,0,0,1,1,0,14,0,-53.2,0.05
1471,400,3,3,6,3,0,9,0,7.2,0.05
1472,400,0,0,1,1,0,6,0,-24.8,0.05
1473,220,0,0,4,1,0,5,1,-72.3,0.05
1474,14,0,0,2,2,0,7,1,-67.5,0.05
1475,44,0,0,2,1,0,4,1,-61.0,0.05
1476,400,0,0,0,0,0,7,0,-40.5,0.05
1477,400,1,1,1,2,0,15,0,-45.9,0.05
1478,170,0,0,4,1,0,7,1,-85.4,0.05
1479,25,0,0,1,1,0,2,1,-64.0,0.05
1480,92,0,0,1,1,0,2,1,-63.1,0.05
1481,112,0,0,4,1,0,4,1,-72.7,0.05
1482,400,0,0,3,1,0,7,0,-32.7,0.05
1483,400,0,0,2,1,0,9,0,-21.3,0.05
1484,400,2,2,5,7,0,15,0,-20.0,0.05
1485,54,0,0,4,1,0,4,1,-67.4,0.05
1486,400,0,0,0,0,0,11,0,-37.6,0.05
1487,400,0,0,2,2,0,10,0,-39.3,0.05
1488,400,8,8,24,7,0,24,0,22.1,0.05
1489,71,0,0,1,1,0,1,1,-55.8,0.05
1490,220,5,5,17,4,0,9,1,-17.8,0.05
1491,119,0,0,4,1,0,5,1,-74.1,0.05
1492,400,1,1,2,1,0,14,0,-43.7,0.05
1493,29,0,0,3,1,0,1,1,-58.0,0.05
1494,209,0,0,2,1,0,5,1,-71.3,0.05
1495,400,0,0,3,2,0,18,0,-47.0,0.05
1496,90,0,0,4,1,0,4,1,-71.1,0.05
1497,400,0,0,2,1,0,10,0,-44.8,0.05
1498,69,0,0,4,2,0,8,1,-70.2,0.05
1499,211,0,0,4,1,0,8,1,-87.5,0.05
1500,60,0,0,3,1,0,1,1,-57.7,0.05
